;protractor A;
t;θ;
0.000000E0;-4.581925E1
3.294444E-2;9.457702E0
6.588889E-2;3.865104E1
9.883333E-2;-5.518408E-1
1.317778E-1;-2.582689E1
1.647222E-1;8.295662E0
1.976667E-1;2.811613E1
2.306111E-1;-1.611281E0
2.635556E-1;-1.894437E1
2.965000E-1;1.186964E1
3.294444E-1;2.096564E1
3.623889E-1;-7.183606E0
3.953333E-1;-9.902887E0
4.282778E-1;1.446229E1
4.612222E-1;1.296263E1
4.941667E-1;-6.448952E0
5.271111E-1;-3.423766E0
5.600556E-1;1.186964E1
5.930000E-1;8.457392E0
6.259444E-1;-4.347110E0
6.588889E-1;1.111571E0
6.918333E-1;1.011490E1
7.247778E-1;4.451106E0
7.577222E-1;-3.356596E0
7.906667E-1;4.408570E0
8.236111E-1;9.011620E0
8.565556E-1;2.762350E0
8.895000E-1;-5.518408E-1
9.224444E-1;6.165033E0
9.553889E-1;6.591809E0
9.883333E-1;2.233826E0
