;protractor A;
t;θ;
0.000000E0;-2.478999E1
3.336806E-2;7.001663E0
6.673611E-2;2.013392E1
1.001042E-1;-2.264048E0
1.334722E-1;-1.489489E1
1.668403E-1;1.074665E1
2.002083E-1;1.765275E1
2.335764E-1;-6.302256E0
2.669444E-1;-7.135957E0
3.003125E-1;1.338335E1
3.336806E-1;1.002460E1
3.670486E-1;-4.456417E0
4.004167E-1;-5.056097E-1
4.337847E-1;1.093162E1
4.671528E-1;6.278554E0
5.005208E-1;-3.830522E0
5.338889E-1;2.572645E0
5.672569E-1;9.416998E0
6.006250E-1;3.205199E0
6.339931E-1;-2.341332E0
6.673611E-1;5.052702E0
7.007292E-1;7.845323E0
7.340972E-1;1.640166E0
7.674653E-1;7.314684E-1
8.008333E-1;5.939685E0
8.342014E-1;6.278554E0
8.675694E-1;1.611168E0
9.009375E-1;2.239077E0
9.343056E-1;6.244029E0
9.676736E-1;4.413078E0
1.001042E0;1.934798E0
1.034410E0;3.865795E0
1.067778E0;5.359661E0
1.101146E0;3.474129E0
1.134514E0;2.252092E0
1.167882E0;4.388528E0
1.201250E0;5.329969E0
1.234618E0;3.168890E0
1.267986E0;3.223648E0
1.301354E0;4.388528E0
1.334722E0;4.388528E0
1.368090E0;3.205199E0
1.401458E0;3.800471E0
1.434826E0;4.488329E0
1.468194E0;3.843785E0
1.501563E0;3.679077E-1
1.534931E0;3.843785E0
1.568299E0;5.081075E0
1.601667E0;7.207501E-1
